route,pax_2019,pax_2025,recovery_index,status,pax_change
DELHI-NASIK,10977,131502,1198.0,Fully Recovered & Grown,120525
GOA-JAIPUR,17418,175016,1004.8,Fully Recovered & Grown,157598
INDORE-PUNE,28536,246732,864.6,Fully Recovered & Grown,218196
JODHPUR-PUNE,11519,98291,853.3,Fully Recovered & Grown,86772
DELHI-GWALIOR,11107,83358,750.5,Fully Recovered & Grown,72251
BENGALURU-JODHPUR,21540,143155,664.6,Fully Recovered & Grown,121615
GUWAHATI-LUCKNOW,15531,93660,603.1,Fully Recovered & Grown,78129
CHANDIGARH-LUCKNOW,16184,93215,576.0,Fully Recovered & Grown,77031
DELHI-PANTNAGAR,13544,71997,531.6,Fully Recovered & Grown,58453
AHMEDABAD-BHOPAL,14818,74729,504.3,Fully Recovered & Grown,59911
COIMBATORE-PUNE,25459,118183,464.2,Fully Recovered & Grown,92724
CHANDIGARH-CHENNAI,25338,113421,447.6,Fully Recovered & Grown,88083
DELHI-MANGALORE,53456,236452,442.3,Fully Recovered & Grown,182996
AHMEDABAD-BHUBANESWAR,27307,120449,441.1,Fully Recovered & Grown,93142
MUMBAI-PRAYAGRAJ,78421,345737,440.9,Fully Recovered & Grown,267316
AIZAWL-GUWAHATI,31022,134198,432.6,Fully Recovered & Grown,103176
CHENNAI-DURGAPUR,21884,94206,430.5,Fully Recovered & Grown,72322
MUMBAI-RAJKOT,128152,546505,426.5,Fully Recovered & Grown,418353
GOA-RAIPUR,29116,119491,410.4,Fully Recovered & Grown,90375
DELHI-TIRUPATI,38529,153081,397.3,Fully Recovered & Grown,114552
BENGALURU-GWALIOR,24101,91966,381.6,Fully Recovered & Grown,67865
BENGALURU-VARANASI,237195,903147,380.8,Fully Recovered & Grown,665952
INDORE-LUCKNOW,16190,60478,373.6,Fully Recovered & Grown,44288
BENGALURU-TIRUCHIRAPALLY,50221,186467,371.3,Fully Recovered & Grown,136246
AMRITSAR-KOLKATA,11650,42970,368.8,Fully Recovered & Grown,31320
BHOPAL-PUNE,28154,103403,367.3,Fully Recovered & Grown,75249
BENGALURU-SHIRDI,42787,150490,351.7,Fully Recovered & Grown,107703
DURGAPUR-HYDERABAD,31979,109148,341.3,Fully Recovered & Grown,77169
GAYA-KOLKATA,28659,96436,336.5,Fully Recovered & Grown,67777
GUWAHATI-PATNA,16709,56211,336.4,Fully Recovered & Grown,39502
KOLKATA-SRINAGAR,29872,95591,320.0,Fully Recovered & Grown,65719
DELHI-DURGAPUR,36190,115221,318.4,Fully Recovered & Grown,79031
MUMBAI-VIJAYAWADA,53813,170908,317.6,Fully Recovered & Grown,117095
DELHI-KANNUR,29500,92546,313.7,Fully Recovered & Grown,63046
HYDERABAD-RANCHI,111451,337625,302.9,Fully Recovered & Grown,226174
BAGDOGRA-HYDERABAD,116154,351075,302.2,Fully Recovered & Grown,234921
CHANDIGARH-KOLKATA,64097,184553,287.9,Fully Recovered & Grown,120456
BENGALURU-GORAKHPUR,90950,261504,287.5,Fully Recovered & Grown,170554
CHENNAI-PATNA,65888,189319,287.3,Fully Recovered & Grown,123431
DELHI-RAJKOT,97252,268909,276.5,Fully Recovered & Grown,171657
CHANDIGARH-PUNE,47768,131826,276.0,Fully Recovered & Grown,84058
BENGALURU-BHOPAL,90812,247665,272.7,Fully Recovered & Grown,156853
AHMEDABAD-COIMBATORE,10282,27242,264.9,Fully Recovered & Grown,16960
DELHI-GAYA,54664,144577,264.5,Fully Recovered & Grown,89913
DELHI-DIMAPUR,40517,102719,253.5,Fully Recovered & Grown,62202
AHMEDABAD-DEHRADUN,54336,137720,253.5,Fully Recovered & Grown,83384
DIBRUGARH-GUWAHATI,88943,220389,247.8,Fully Recovered & Grown,131446
BHUJ-MUMBAI,60098,145189,241.6,Fully Recovered & Grown,85091
AGATTI ISLAND-KOCHI,25628,61845,241.3,Fully Recovered & Grown,36217
GORAKHPUR-HYDERABAD,59047,141569,239.8,Fully Recovered & Grown,82522
HYDERABAD-THIRUVANANTHAPURAM,122390,292907,239.3,Fully Recovered & Grown,170517
KOLKATA-SHILLONG,22459,53554,238.5,Fully Recovered & Grown,31095
HUBLI-MUMBAI,44011,104891,238.3,Fully Recovered & Grown,60880
VIJAYAWADA-VISAKHAPATNAM,46872,106927,228.1,Fully Recovered & Grown,60055
DELHI-KOZHIKODE,53872,117073,217.3,Fully Recovered & Grown,63201
DELHI-JAISALMER,39119,84812,216.8,Fully Recovered & Grown,45693
HYDERABAD-UDAIPUR,69458,149466,215.2,Fully Recovered & Grown,80008
CHANDIGARH-HYDERABAD,123762,264196,213.5,Fully Recovered & Grown,140434
BENGALURU-SURAT,155923,330782,212.1,Fully Recovered & Grown,174859
HYDERABAD-PATNA,233707,495130,211.9,Fully Recovered & Grown,261423
DELHI-PRAYAGRAJ,136825,286358,209.3,Fully Recovered & Grown,149533
JABALPUR-MUMBAI,53398,111418,208.7,Fully Recovered & Grown,58020
BENGALURU-GUWAHATI,386019,803155,208.1,Fully Recovered & Grown,417136
AURANGABAD-DELHI,125030,256036,204.8,Fully Recovered & Grown,131006
BENGALURU-DEHRADUN,112970,226597,200.6,Fully Recovered & Grown,113627
AURANGABAD-MUMBAI,114409,228453,199.7,Fully Recovered & Grown,114044
MUMBAI-SRINAGAR,158541,313640,197.8,Fully Recovered & Grown,155099
MUMBAI-TIRUPATI,59213,115985,195.9,Fully Recovered & Grown,56772
BENGALURU-KOZHIKODE,149993,290166,193.5,Fully Recovered & Grown,140173
AHMEDABAD-INDORE,68404,130546,190.8,Fully Recovered & Grown,62142
BENGALURU-KOLHAPUR,26688,50672,189.9,Fully Recovered & Grown,23984
GORAKHPUR-MUMBAI,132111,249139,188.6,Fully Recovered & Grown,117028
BENGALURU-MADURAI,101827,191148,187.7,Fully Recovered & Grown,89321
HYDERABAD-VARANASI,349692,653570,186.9,Fully Recovered & Grown,303878
DELHI-KANPUR,53878,100152,185.9,Fully Recovered & Grown,46274
AHMEDABAD-GUWAHATI,59233,109633,185.1,Fully Recovered & Grown,50400
CHANDIGARH-LEH,20592,37970,184.4,Fully Recovered & Grown,17378
DURGAPUR-MUMBAI,37957,69437,182.9,Fully Recovered & Grown,31480
DELHI-DIBRUGARH,121490,218645,180.0,Fully Recovered & Grown,97155
DELHI-JORHAT,10366,18427,177.8,Fully Recovered & Grown,8061
HYDERABAD-KOCHI,473842,839157,177.1,Fully Recovered & Grown,365315
HYDERABAD-NASIK,29200,51439,176.2,Fully Recovered & Grown,22239
BHUBANESWAR-RANCHI,25225,44157,175.1,Fully Recovered & Grown,18932
HYDERABAD-VADODARA,66498,116234,174.8,Fully Recovered & Grown,49736
AGARTALA-DELHI,87136,151758,174.2,Fully Recovered & Grown,64622
CHENNAI-RAIPUR,66920,116174,173.6,Fully Recovered & Grown,49254
GOA-PUNE,247732,428488,173.0,Fully Recovered & Grown,180756
HYDERABAD-MYSORE,25932,44710,172.4,Fully Recovered & Grown,18778
AMRITSAR-SRINAGAR,81151,139538,171.9,Fully Recovered & Grown,58387
GUWAHATI-HYDERABAD,208455,357373,171.4,Fully Recovered & Grown,148918
TIRUPATI-VIJAYAWADA,17177,29262,170.4,Fully Recovered & Grown,12085
AURANGABAD-HYDERABAD,46820,79423,169.6,Fully Recovered & Grown,32603
DELHI-MADURAI,72131,122230,169.5,Fully Recovered & Grown,50099
DELHI-GORAKHPUR,269596,454317,168.5,Fully Recovered & Grown,184721
BHUBANESWAR-KOCHI,42031,70255,167.2,Fully Recovered & Grown,28224
MADURAI-MUMBAI,118990,198780,167.1,Fully Recovered & Grown,79790
AHMEDABAD-GOA,395381,659036,166.7,Fully Recovered & Grown,263655
MUMBAI-VARANASI,553278,901044,162.9,Fully Recovered & Grown,347766
BENGALURU-THIRUVANANTHAPURAM,441212,716827,162.5,Fully Recovered & Grown,275615
AHMEDABAD-NAGPUR,59166,95586,161.6,Fully Recovered & Grown,36420
MUMBAI-PORT BLAIR,39129,62756,160.4,Fully Recovered & Grown,23627
CHENNAI-TIRUCHIRAPALLY,209548,334801,159.8,Fully Recovered & Grown,125253
LUCKNOW-PUNE,124628,197727,158.7,Fully Recovered & Grown,73099
JODHPUR-MUMBAI,176269,279305,158.5,Fully Recovered & Grown,103036
HYDERABAD-NAGPUR,69828,110434,158.2,Fully Recovered & Grown,40606
KOLKATA-PRAYAGRAJ,23814,37473,157.4,Fully Recovered & Grown,13659
CHENNAI-INDORE,106335,167006,157.1,Fully Recovered & Grown,60671
COIMBATORE-HYDERABAD,331564,520636,157.0,Fully Recovered & Grown,189072
JAMNAGAR-MUMBAI,67526,105550,156.3,Fully Recovered & Grown,38024
AHMEDABAD-CHANDIGARH,140274,218997,156.1,Fully Recovered & Grown,78723
BHOPAL-RAIPUR,27642,43081,155.9,Fully Recovered & Grown,15439
BAGDOGRA-MUMBAI,245015,381484,155.7,Fully Recovered & Grown,136469
GOA-HYDERABAD,867941,1348133,155.3,Fully Recovered & Grown,480192
LEH-MUMBAI,20841,32057,153.8,Fully Recovered & Grown,11216
DEHRADUN-JAIPUR,40022,60830,152.0,Fully Recovered & Grown,20808
BELGAUM-HYDERABAD,31009,47022,151.6,Fully Recovered & Grown,16013
DELHI-JHARSUGUDA,71131,107127,150.6,Fully Recovered & Grown,35996
BENGALURU-CHANDIGARH,316915,476018,150.2,Fully Recovered & Grown,159103
BENGALURU-GOA,1062807,1562604,147.0,Fully Recovered & Grown,499797
BENGALURU-PONDICHERRY,32676,47932,146.7,Fully Recovered & Grown,15256
GOA-KOLKATA,136182,197662,145.1,Fully Recovered & Grown,61480
MUMBAI-VISAKHAPATNAM,141793,203614,143.6,Fully Recovered & Grown,61821
AHMEDABAD-PATNA,110808,159058,143.5,Fully Recovered & Grown,48250
AGARTALA-GUWAHATI,225430,322528,143.1,Fully Recovered & Grown,97098
HYDERABAD-INDORE,288371,410700,142.4,Fully Recovered & Grown,122329
BENGALURU-RAJAHMUNDRY,56936,80902,142.1,Fully Recovered & Grown,23966
BENGALURU-PORT BLAIR,169886,241087,141.9,Fully Recovered & Grown,71201
BENGALURU-SRINAGAR,74131,105223,141.9,Fully Recovered & Grown,31092
DEHRADUN-HYDERABAD,86040,121557,141.3,Fully Recovered & Grown,35517
BAGDOGRA-CHENNAI,133222,187639,140.8,Fully Recovered & Grown,54417
DELHI-UDAIPUR,457208,642475,140.5,Fully Recovered & Grown,185267
BAGDOGRA-BENGALURU,437125,612119,140.0,Fully Recovered & Grown,174994
MUMBAI-UDAIPUR,423119,585290,138.3,Fully Recovered & Grown,162171
BENGALURU-MANGALORE,579866,801452,138.2,Fully Recovered & Grown,221586
BHUBANESWAR-HYDERABAD,418659,574954,137.3,Fully Recovered & Grown,156295
HYDERABAD-LUCKNOW,325446,445925,137.0,Fully Recovered & Grown,120479
HYDERABAD-PUNE,533095,727430,136.5,Fully Recovered & Grown,194335
DELHI-JODHPUR,214937,291565,135.7,Fully Recovered & Grown,76628
AMRITSAR-BENGALURU,90070,121982,135.4,Fully Recovered & Grown,31912
HYDERABAD-MADURAI,141777,191899,135.4,Fully Recovered & Grown,50122
BENGALURU-RAIPUR,206291,279320,135.4,Fully Recovered & Grown,73029
IMPHAL-KOLKATA,279324,378038,135.3,Fully Recovered & Grown,98714
PORT BLAIR-VISAKHAPATNAM,25888,35016,135.3,Fully Recovered & Grown,9128
DELHI-INDORE,784240,1059384,135.1,Fully Recovered & Grown,275144
DELHI-LEH,565780,763313,134.9,Fully Recovered & Grown,197533
HYDERABAD-JHARSUGUDA,36999,49786,134.6,Fully Recovered & Grown,12787
AHMEDABAD-BELGAUM,12400,16650,134.3,Fully Recovered & Grown,4250
HYDERABAD-SHIRDI,140389,186976,133.2,Fully Recovered & Grown,46587
BENGALURU-KOCHI,1021198,1356636,132.8,Fully Recovered & Grown,335438
BENGALURU-PRAYAGRAJ,102083,135351,132.6,Fully Recovered & Grown,33268
JHARSUGUDA-KOLKATA,33529,44423,132.5,Fully Recovered & Grown,10894
BENGALURU-PATNA,519655,687784,132.4,Fully Recovered & Grown,168129
CHANDIGARH-DELHI,667487,863855,129.4,Fully Recovered & Grown,196368
KOLKATA-RAIPUR,200045,257094,128.5,Fully Recovered & Grown,57049
HYDERABAD-TIRUPATI,625224,799402,127.9,Fully Recovered & Grown,174178
HYDERABAD-MANGALORE,99578,126433,127.0,Fully Recovered & Grown,26855
BENGALURU-UDAIPUR,136312,171909,126.1,Fully Recovered & Grown,35597
DELHI-THIRUVANANTHAPURAM,363298,455320,125.3,Fully Recovered & Grown,92022
BHUBANESWAR-MUMBAI,452779,564321,124.6,Fully Recovered & Grown,111542
AGARTALA-IMPHAL,33783,41853,123.9,Fully Recovered & Grown,8070
BHUBANESWAR-CHENNAI,208342,258061,123.9,Fully Recovered & Grown,49719
CHANDIGARH-SRINAGAR,159692,197166,123.5,Fully Recovered & Grown,37474
BENGALURU-LUCKNOW,663723,819731,123.5,Fully Recovered & Grown,156008
DELHI-VIJAYAWADA,236652,291481,123.2,Fully Recovered & Grown,54829
LUCKNOW-MUMBAI,745227,917252,123.1,Fully Recovered & Grown,172025
AHMEDABAD-LUCKNOW,224595,276058,122.9,Fully Recovered & Grown,51463
DELHI-GOA,1942688,2385305,122.8,Fully Recovered & Grown,442617
HYDERABAD-PONDICHERRY,39451,48304,122.4,Fully Recovered & Grown,8853
MUMBAI-THIRUVANANTHAPURAM,286417,350298,122.3,Fully Recovered & Grown,63881
CHENNAI-JAIPUR,199576,243964,122.2,Fully Recovered & Grown,44388
MANGALORE-MUMBAI,464605,566245,121.9,Fully Recovered & Grown,101640
COIMBATORE-MUMBAI,528388,643004,121.7,Fully Recovered & Grown,114616
CHENNAI-VISAKHAPATNAM,257655,313136,121.5,Fully Recovered & Grown,55481
AMRITSAR-DELHI,904099,1094756,121.1,Fully Recovered & Grown,190657
BHOPAL-DELHI,478337,576000,120.4,Fully Recovered & Grown,97663
KOLKATA-VARANASI,197242,235567,119.4,Fully Recovered & Grown,38325
DEHRADUN-MUMBAI,247646,295387,119.3,Fully Recovered & Grown,47741
DELHI-JABALPUR,123241,147060,119.3,Fully Recovered & Grown,23819
CHENNAI-GUWAHATI,305096,363570,119.2,Fully Recovered & Grown,58474
BENGALURU-BHUBANESWAR,676404,799092,118.1,Fully Recovered & Grown,122688
BENGALURU-INDORE,428660,505356,117.9,Fully Recovered & Grown,76696
JAMMU-LEH,46497,54804,117.9,Fully Recovered & Grown,8307
JAISALMER-MUMBAI,35651,41982,117.8,Fully Recovered & Grown,6331
DIU-MUMBAI,18547,21815,117.6,Fully Recovered & Grown,3268
BENGALURU-KOLKATA,1881425,2199384,116.9,Fully Recovered & Grown,317959
JAIPUR-MUMBAI,910135,1062506,116.7,Fully Recovered & Grown,152371
BHUBANESWAR-JHARSUGUDA,17987,20934,116.4,Fully Recovered & Grown,2947
GUWAHATI-SILCHAR,103723,120157,115.8,Fully Recovered & Grown,16434
AIZAWL-KOLKATA,114142,131666,115.4,Fully Recovered & Grown,17524
DELHI-VISAKHAPATNAM,421145,485049,115.2,Fully Recovered & Grown,63904
MUMBAI-RAIPUR,316171,364341,115.2,Fully Recovered & Grown,48170
BENGALURU-JAIPUR,606803,697402,114.9,Fully Recovered & Grown,90599
AHMEDABAD-BENGALURU,970886,1115027,114.8,Fully Recovered & Grown,144141
AHMEDABAD-KOLKATA,506699,581517,114.8,Fully Recovered & Grown,74818
KOLKATA-SILCHAR,247634,283343,114.4,Fully Recovered & Grown,35709
DIBRUGARH-KOLKATA,222019,252978,113.9,Fully Recovered & Grown,30959
GUWAHATI-JAIPUR,120248,136998,113.9,Fully Recovered & Grown,16750
GUWAHATI-MUMBAI,345939,393930,113.9,Fully Recovered & Grown,47991
KOLKATA-MUMBAI,2003249,2278822,113.8,Fully Recovered & Grown,275573
BENGALURU-HYDERABAD,2139481,2395452,112.0,Fully Recovered & Grown,255971
BIKANER-DELHI,34828,38806,111.4,Fully Recovered & Grown,3978
GOA-KOCHI,91682,101957,111.2,Fully Recovered & Grown,10275
CHANDIGARH-MUMBAI,558673,619317,110.9,Fully Recovered & Grown,60644
DELHI-SRINAGAR,1599359,1769865,110.7,Fully Recovered & Grown,170506
HYDERABAD-VISAKHAPATNAM,923245,1021251,110.6,Fully Recovered & Grown,98006
BENGALURU-RANCHI,416930,459880,110.3,Fully Recovered & Grown,42950
KOCHI-PUNE,198057,215746,108.9,Recovered,17689
DEHRADUN-DELHI,601378,649476,108.0,Recovered,48098
CHENNAI-KOCHI,708738,765473,108.0,Recovered,56735
JORHAT-KOLKATA,114489,123145,107.6,Recovered,8656
CHENNAI-SALEM,39613,42599,107.5,Recovered,2986
HYDERABAD-RAJAHMUNDRY,258142,276976,107.3,Recovered,18834
AHMEDABAD-DELHI,2239720,2403994,107.3,Recovered,164274
JAIPUR-KOLKATA,452136,484859,107.2,Recovered,32723
CHENNAI-HYDERABAD,1456929,1557977,106.9,Recovered,101048
HYDERABAD-VIJAYAWADA,346286,368416,106.4,Recovered,22130
INDORE-KOLKATA,157025,167022,106.4,Recovered,9997
DELHI-RAIPUR,732200,774599,105.8,Recovered,42399
DELHI-SURAT,542379,573524,105.7,Recovered,31145
GOA-MUMBAI,2229868,2355180,105.6,Recovered,125312
AHMEDABAD-PUNE,608541,641881,105.5,Recovered,33340
KOLKATA-PORT BLAIR,554350,583865,105.3,Recovered,29515
BENGALURU-CHENNAI,1416407,1488951,105.1,Recovered,72544
JAIPUR-PUNE,260059,272700,104.9,Recovered,12641
DELHI-PUNE,2684564,2799916,104.3,Recovered,115352
BENGALURU-DELHI,4422058,4613046,104.3,Recovered,190988
INDORE-MUMBAI,672629,700784,104.2,Recovered,28155
HYDERABAD-PORT BLAIR,107691,111988,104.0,Recovered,4297
DELHI-VARANASI,896098,932115,104.0,Recovered,36017
CHENNAI-PUNE,784170,814261,103.8,Recovered,30091
BHATINDA-DELHI,16072,16667,103.7,Recovered,595
KOCHI-MUMBAI,1129309,1168060,103.4,Recovered,38751
DELHI-GUWAHATI,1476456,1523059,103.2,Recovered,46603
