route,pax_2019,pax_2025,recovery_index,status,pax_change
BAGDOGRA-VARANASI,0,4,,New Route,4
BAREILLY-BENGALURU,0,49603,,New Route,49603
BAREILLY-GOA,0,49,,New Route,49
BAREILLY-MUMBAI,0,70641,,New Route,70641
BELGAUM-CHENNAI,0,2,,New Route,2
BELGAUM-DELHI,0,88438,,New Route,88438
BELGAUM-GOA,0,323,,New Route,323
BELGAUM-JAIPUR,0,14591,,New Route,14591
BELGAUM-KOLKATA,0,6,,New Route,6
BELGAUM-NAGPUR,0,3245,,New Route,3245
BELGAUM-TIRUPATI,0,54,,New Route,54
BENGALURU-BIDAR,0,22381,,New Route,22381
BENGALURU-DARBHANGA,0,37482,,New Route,37482
BENGALURU-DEOGHAR,0,116387,,New Route,116387
BENGALURU-DIBRUGARH,0,7891,,New Route,7891
BENGALURU-DURGAPUR,0,106866,,New Route,106866
BENGALURU-GHAZIABAD,0,20373,,New Route,20373
BENGALURU-HINDON,0,215499,,New Route,215499
BENGALURU-JABALPUR,0,97624,,New Route,97624
BENGALURU-JAISALMER,0,17839,,New Route,17839
BENGALURU-JAMMU,0,47277,,New Route,47277
BENGALURU-JHARSUGUDA,0,104263,,New Route,104263
BENGALURU-KALABURAGI,0,18908,,New Route,18908
BENGALURU-KANPUR,0,76098,,New Route,76098
BENGALURU-KHAJURAHO,0,35,,New Route,35
BENGALURU-KURNOOL,0,4688,,New Route,4688
BENGALURU-MALVAN,0,12956,,New Route,12956
BENGALURU-NANDED,0,39085,,New Route,39085
BENGALURU-NASIK,0,126166,,New Route,126166
BENGALURU-RAJKOT,0,117935,,New Route,117935
BENGALURU-SALEM,0,39206,,New Route,39206
BENGALURU-SHIVAMOGGA,0,32224,,New Route,32224
BENGALURU-SILCHAR,0,1110,,New Route,1110
BENGALURU-TUTICORIN,0,45748,,New Route,45748
BHATINDA-CHANDIGARH,0,34,,New Route,34
BHATINDA-HINDON,0,763,,New Route,763
BHAVNAGAR-JAIPUR,0,66,,New Route,66
BHAVNAGAR-PUNE,0,15309,,New Route,15309
BHOPAL-CHENNAI,0,106,,New Route,106
BHOPAL-DATIA,0,506,,New Route,506
BHOPAL-GOA,0,45336,,New Route,45336
BHOPAL-INDORE,0,360,,New Route,360
BHOPAL-JABALPUR,0,3626,,New Route,3626
BHOPAL-KANNUR,0,143,,New Route,143
BHOPAL-LUCKNOW,0,7266,,New Route,7266
BHOPAL-PRAYAGRAJ,0,364,,New Route,364
BHOPAL-REWA,0,2268,,New Route,2268
BHUBANESWAR-CHANDIGARH,0,13249,,New Route,13249
BHUBANESWAR-DEHRADUN,0,34689,,New Route,34689
BHUBANESWAR-DIMAPUR,0,417,,New Route,417
BHUBANESWAR-DURGAPUR,0,16853,,New Route,16853
BHUBANESWAR-GOA,0,35536,,New Route,35536
BHUBANESWAR-HINDON,0,33239,,New Route,33239
BHUBANESWAR-INDORE,0,57574,,New Route,57574
BHUBANESWAR-ITANAGAR,0,3,,New Route,3
BHUBANESWAR-JAIPUR,0,57227,,New Route,57227
BHUBANESWAR-JAMMU,0,1800,,New Route,1800
BHUBANESWAR-JAMSHEDPUR,0,4157,,New Route,4157
BHUBANESWAR-JEYPORE,0,11757,,New Route,11757
BHUBANESWAR-LUCKNOW,0,60741,,New Route,60741
BHUBANESWAR-PATNA,0,101310,,New Route,101310
BHUBANESWAR-PORT BLAIR,0,55468,,New Route,55468
BHUBANESWAR-PRAYAGRAJ,0,29684,,New Route,29684
BHUBANESWAR-PUNE,0,107726,,New Route,107726
BHUBANESWAR-RAIPUR,0,73508,,New Route,73508
BHUBANESWAR-ROURKELA,0,12208,,New Route,12208
BHUBANESWAR-SRINAGAR,0,1129,,New Route,1129
BHUBANESWAR-UTKELA,0,3944,,New Route,3944
BHUBANESWAR-VARANASI,0,31759,,New Route,31759
BHUBANESWAR-VIJAYAWADA,0,9,,New Route,9
BHUBANESWAR-VISAKHAPATNAM,0,26807,,New Route,26807
BHUJ-DELHI,0,87048,,New Route,87048
BHUJ-SURAT,0,5927,,New Route,5927
BILASPUR-DELHI,0,12047,,New Route,12047
BILASPUR-HYDERABAD,0,19,,New Route,19
BILASPUR-INDORE,0,74,,New Route,74
BILASPUR-JABALPUR,0,7821,,New Route,7821
BILASPUR-JAGDALPUR,0,3295,,New Route,3295
BILASPUR-KOLKATA,0,6482,,New Route,6482
BILASPUR-PRAYAGRAJ,0,9364,,New Route,9364
BILASPUR-VARANASI,0,58,,New Route,58
CHANDIGARH-DEHRADUN,0,129,,New Route,129
CHANDIGARH-DHARAMSALA,0,29374,,New Route,29374
CHANDIGARH-GOA,0,189370,,New Route,189370
CHANDIGARH-GUWAHATI,0,17226,,New Route,17226
CHANDIGARH-HINDON,0,152,,New Route,152
CHANDIGARH-HISSAR,0,798,,New Route,798
CHANDIGARH-INDORE,0,56448,,New Route,56448
CHANDIGARH-JAIPUR,0,112279,,New Route,112279
CHANDIGARH-JAMMU,0,19103,,New Route,19103
CHANDIGARH-KOCHI,0,1989,,New Route,1989
CHANDIGARH-KULLU,0,15,,New Route,15
CHANDIGARH-PANTNAGAR,0,15,,New Route,15
CHANDIGARH-PATNA,0,80629,,New Route,80629
CHANDIGARH-PRAYAGRAJ,0,3267,,New Route,3267
CHANDIGARH-SILCHAR,0,8,,New Route,8
CHANDIGARH-UDAIPUR,0,2942,,New Route,2942
CHENNAI-CUDDAPAH,0,15060,,New Route,15060
CHENNAI-DEHRADUN,0,12330,,New Route,12330
CHENNAI-GHAZIABAD,0,7069,,New Route,7069
CHENNAI-HINDON,0,94483,,New Route,94483
CHENNAI-JAMMU,0,816,,New Route,816
CHENNAI-KANPUR,0,366,,New Route,366
CHENNAI-KURNOOL,0,4027,,New Route,4027
CHENNAI-PRAYAGRAJ,0,5787,,New Route,5787
CHENNAI-RAJKOT,0,10,,New Route,10
CHENNAI-RANCHI,0,122526,,New Route,122526
CHENNAI-SHIVAMOGGA,0,17874,,New Route,17874
CHENNAI-TIRUPATI,0,75,,New Route,75
CHENNAI-VADODARA,0,7637,,New Route,7637
COIMBATORE-DURGAPUR,0,265,,New Route,265
COIMBATORE-GOA,0,49099,,New Route,49099
COIMBATORE-GUWAHATI,0,4388,,New Route,4388
COIMBATORE-JAIPUR,0,1430,,New Route,1430
COIMBATORE-KOCHI,0,375,,New Route,375
COIMBATORE-LUCKNOW,0,63,,New Route,63
COIMBATORE-NAGPUR,0,8,,New Route,8
COIMBATORE-NASIK,0,747,,New Route,747
COIMBATORE-SHIRDI,0,859,,New Route,859
COIMBATORE-VIJAYAWADA,0,3,,New Route,3
COOCH BEHAR-KOLKATA,0,5623,,New Route,5623
CUDDAPAH-HYDERABAD,0,46283,,New Route,46283
CUDDAPAH-VIJAYAWADA,0,7045,,New Route,7045
DARBHANGA-DELHI,0,325525,,New Route,325525
DARBHANGA-GOA,0,59,,New Route,59
DARBHANGA-HYDERABAD,0,98350,,New Route,98350
DARBHANGA-KOLKATA,0,39446,,New Route,39446
DARBHANGA-MUMBAI,0,218219,,New Route,218219
DARBHANGA-PUNE,0,109,,New Route,109
DARBHANGA-SRINAGAR,0,67,,New Route,67
DARBHANGA-VIJAYAWADA,0,1,,New Route,1
DATIA-KHAJURAHO,0,319,,New Route,319
DEHRADUN-GORAKHPUR,0,13,,New Route,13
DEHRADUN-GUWAHATI,0,4278,,New Route,4278
DEHRADUN-INDORE,0,2063,,New Route,2063
DEHRADUN-KOLKATA,0,60727,,New Route,60727
DEHRADUN-KULLU,0,2820,,New Route,2820
DEHRADUN-PITHORAGARH,0,3106,,New Route,3106
DEHRADUN-PRAYAGRAJ,0,725,,New Route,725
DEHRADUN-PUNE,0,95997,,New Route,95997
DEHRADUN-SRINAGAR,0,4516,,New Route,4516
DELHI-DEOGHAR,0,163777,,New Route,163777
DELHI-HISSAR,0,1430,,New Route,1430
DELHI-HUBLI,0,98526,,New Route,98526
DELHI-ITANAGAR,0,83573,,New Route,83573
DELHI-JAGDALPUR,0,7857,,New Route,7857
DELHI-KANDLA,0,787,,New Route,787
DELHI-KHAJURAHO,0,31455,,New Route,31455
DELHI-PITHORAGARH,0,5974,,New Route,5974
DELHI-PURNEA,0,21216,,New Route,21216
DELHI-RAJAHMUNDRY,0,83035,,New Route,83035
DELHI-REWA,0,2287,,New Route,2287
DELHI-SHILLONG,0,14249,,New Route,14249
DELHI-SIMLA,0,9132,,New Route,9132
DELHI-TIRUCHIRAPALLY,0,30782,,New Route,30782
DEOGHAR-KOLKATA,0,36420,,New Route,36420
DEOGHAR-MUMBAI,0,49355,,New Route,49355
DEOGHAR-PATNA,0,2631,,New Route,2631
DEOGHAR-RANCHI,0,2814,,New Route,2814
DHARAMSALA-GORAKHPUR,0,21,,New Route,21
DHARAMSALA-KULLU,0,25,,New Route,25
DHARAMSALA-LUCKNOW,0,137,,New Route,137
DHARAMSALA-SIMLA,0,2261,,New Route,2261
DHARAMSALA-UDAIPUR,0,2,,New Route,2
DIBRUGARH-HYDERABAD,0,4559,,New Route,4559
DIBRUGARH-IMPHAL,0,23737,,New Route,23737
DIBRUGARH-JORHAT,0,148,,New Route,148
DIBRUGARH-RANCHI,0,8,,New Route,8
DIMAPUR-GUWAHATI,0,149189,,New Route,149189
DIMAPUR-IMPHAL,0,11171,,New Route,11171
DIU-GOA,0,8077,,New Route,8077
DIU-KESHOD,0,417,,New Route,417
DIU-SURAT,0,35650,,New Route,35650
DURGAPUR-GUWAHATI,0,9053,,New Route,9053
DURGAPUR-KOLKATA,0,222,,New Route,222
DURGAPUR-LUCKNOW,0,130,,New Route,130
DURGAPUR-RAIPUR,0,8,,New Route,8
DURGAPUR-VARANASI,0,1255,,New Route,1255
GAYA-MUMBAI,0,364,,New Route,364
GHAZIABAD-KISHANGARH,0,1624,,New Route,1624
GHAZIABAD-KOLKATA,0,8301,,New Route,8301
GHAZIABAD-MUMBAI,0,16723,,New Route,16723
GHAZIABAD-NANDED,0,4799,,New Route,4799
GHAZIABAD-PATNA,0,6846,,New Route,6846
GHAZIABAD-VARANASI,0,3278,,New Route,3278
GOA-GORAKHPUR,0,105,,New Route,105
GOA-HINDON,0,86790,,New Route,86790
GOA-JALGAON,0,39823,,New Route,39823
GOA-MALVAN,0,32,,New Route,32
GOA-NAGPUR,0,148865,,New Route,148865
GOA-NASIK,0,23193,,New Route,23193
GOA-RAJKOT,0,75583,,New Route,75583
GOA-SHIVAMOGGA,0,21222,,New Route,21222
GOA-SHOLAPUR,0,10168,,New Route,10168
GOA-UDAIPUR,0,97,,New Route,97
GOA-VADODARA,0,62498,,New Route,62498
GOA-VIJAYAWADA,0,154,,New Route,154
GONDIA-HYDERABAD,0,28232,,New Route,28232
GONDIA-INDORE,0,4618,,New Route,4618
GORAKHPUR-PRAYAGRAJ,0,96,,New Route,96
GORAKHPUR-PUNE,0,49,,New Route,49
GORAKHPUR-VARANASI,0,225,,New Route,225
GUWAHATI-ITANAGAR,0,3176,,New Route,3176
GUWAHATI-PASIGHAT,0,3637,,New Route,3637
GUWAHATI-PRAYAGRAJ,0,5237,,New Route,5237
GUWAHATI-PUNE,0,107686,,New Route,107686
GUWAHATI-RANCHI,0,19,,New Route,19
GUWAHATI-RUPSI,0,4005,,New Route,4005
GUWAHATI-SHILLONG,0,43,,New Route,43
GUWAHATI-TEZU,0,7018,,New Route,7018
GUWAHATI-VIJAYAWADA,0,5,,New Route,5
GUWAHATI-ZIRO,0,683,,New Route,683
GWALIOR-MUMBAI,0,111070,,New Route,111070
HINDON-INDORE,0,14102,,New Route,14102
HINDON-JAIPUR,0,5130,,New Route,5130
HINDON-JAMMU,0,1525,,New Route,1525
HINDON-KISHANGARH,0,13936,,New Route,13936
HINDON-KOLKATA,0,112525,,New Route,112525
HINDON-LUDHIANA,0,631,,New Route,631
HINDON-MUMBAI,0,86550,,New Route,86550
HINDON-NANDED,0,42898,,New Route,42898
HINDON-PATNA,0,71769,,New Route,71769
HINDON-VARANASI,0,69696,,New Route,69696
HISSAR-JAIPUR,0,615,,New Route,615
HUBLI-HYDERABAD,0,42467,,New Route,42467
HUBLI-INDORE,0,175,,New Route,175
HUBLI-PUNE,0,23895,,New Route,23895
HUBLI-VIJAYAWADA,0,4,,New Route,4
HYDERABAD-JAGDALPUR,0,42855,,New Route,42855
HYDERABAD-JALGAON,0,30402,,New Route,30402
HYDERABAD-JAMMU,0,34152,,New Route,34152
HYDERABAD-JODHPUR,0,121794,,New Route,121794
HYDERABAD-KANPUR,0,62053,,New Route,62053
HYDERABAD-KOZHIKODE,0,143455,,New Route,143455
HYDERABAD-MALVAN,0,15002,,New Route,15002
HYDERABAD-PRAYAGRAJ,0,86202,,New Route,86202
HYDERABAD-PURNEA,0,21404,,New Route,21404
HYDERABAD-RAJKOT,0,85524,,New Route,85524
HYDERABAD-SALEM,0,21288,,New Route,21288
HYDERABAD-SHIVAMOGGA,0,74096,,New Route,74096
HYDERABAD-SRINAGAR,0,107611,,New Route,107611
HYDERABAD-TIRUCHIRAPALLY,0,134225,,New Route,134225
HYDERABAD-TUTICORIN,0,83,,New Route,83
IMPHAL-JAIPUR,0,861,,New Route,861
IMPHAL-MUMBAI,0,2543,,New Route,2543
IMPHAL-SHILLONG,0,16130,,New Route,16130
IMPHAL-SILCHAR,0,10555,,New Route,10555
IMPHAL-TEZU,0,3100,,New Route,3100
INDORE-JABALPUR,0,49634,,New Route,49634
INDORE-JAIPUR,0,92736,,New Route,92736
INDORE-JAMMU,0,25369,,New Route,25369
INDORE-JODHPUR,0,32891,,New Route,32891
INDORE-NASIK,0,12024,,New Route,12024
INDORE-PATNA,0,3,,New Route,3
INDORE-PRAYAGRAJ,0,4695,,New Route,4695
INDORE-REWA,0,1027,,New Route,1027
INDORE-SHIRDI,0,9077,,New Route,9077
INDORE-UDAIPUR,0,21868,,New Route,21868
INDORE-VIJAYAWADA,0,162,,New Route,162
INDORE-VISAKHAPATNAM,0,2342,,New Route,2342
ITANAGAR-JORHAT,0,8,,New Route,8
ITANAGAR-KOLKATA,0,95985,,New Route,95985
ITANAGAR-TEZU,0,377,,New Route,377
ITANAGAR-ZIRO,0,55,,New Route,55
JABALPUR-JAGDALPUR,0,4691,,New Route,4691
JABALPUR-JAIPUR,0,6,,New Route,6
JAGDALPUR-NAGPUR,0,49,,New Route,49
JAGDALPUR-RAIPUR,0,98,,New Route,98
JAIPUR-JAMMU,0,23,,New Route,23
JAIPUR-JODHPUR,0,15367,,New Route,15367
JAIPUR-KHAJURAHO,0,25,,New Route,25
JAIPUR-KULLU,0,4662,,New Route,4662
JAIPUR-NAGPUR,0,4639,,New Route,4639
JAIPUR-NASIK,0,1377,,New Route,1377
JAIPUR-PATNA,0,159,,New Route,159
JAIPUR-PORT BLAIR,0,7,,New Route,7
JAIPUR-PRAYAGRAJ,0,13502,,New Route,13502
JAIPUR-RANCHI,0,12,,New Route,12
JAIPUR-SRINAGAR,0,292,,New Route,292
JAIPUR-VADODARA,0,8,,New Route,8
JAISALMER-KOLKATA,0,235,,New Route,235
JALGAON-MUMBAI,0,12965,,New Route,12965
JALGAON-PUNE,0,35349,,New Route,35349
JAMMU-KOLKATA,0,9008,,New Route,9008
JAMNAGAR-SURAT,0,8484,,New Route,8484
JAMSHEDPUR-KOLKATA,0,4571,,New Route,4571
JEYPORE-VISAKHAPATNAM,0,3059,,New Route,3059
JHARSUGUDA-LUCKNOW,0,18161,,New Route,18161
JHARSUGUDA-MUMBAI,0,78031,,New Route,78031
JHARSUGUDA-RAIPUR,0,6316,,New Route,6316
JODHPUR-KOLKATA,0,867,,New Route,867
JORHAT-PASIGHAT,0,53,,New Route,53
JORHAT-TEZU,0,938,,New Route,938
KANNUR-KOZHIKODE,0,538,,New Route,538
KANNUR-MANGALORE,0,431,,New Route,431
KANPUR-VIJAYAWADA,0,1,,New Route,1
KESHOD-MUMBAI,0,3090,,New Route,3090
KHAJURAHO-MUMBAI,0,23,,New Route,23
KHAJURAHO-REWA,0,46,,New Route,46
KISHANGARH-LUCKNOW,0,18063,,New Route,18063
KISHANGARH-NAGPUR,0,27027,,New Route,27027
KISHANGARH-PUNE,0,32677,,New Route,32677
KOCHI-KOZHIKODE,0,17135,,New Route,17135
KOCHI-PATNA,0,3826,,New Route,3826
KOCHI-RAIPUR,0,8274,,New Route,8274
KOCHI-SALEM,0,15647,,New Route,15647
KOCHI-SHIVAMOGGA,0,48,,New Route,48
KOCHI-VARANASI,0,6826,,New Route,6826
KOLHAPUR-MUMBAI,0,38589,,New Route,38589
KOLHAPUR-NAGPUR,0,2781,,New Route,2781
KOLHAPUR-VIJAYAWADA,0,353,,New Route,353
KOLKATA-KOZHIKODE,0,293,,New Route,293
KOLKATA-PURNEA,0,19367,,New Route,19367
KOLKATA-RAJAHMUNDRY,0,20,,New Route,20
KOLKATA-RAJKOT,0,204,,New Route,204
KOLKATA-ROURKELA,0,3494,,New Route,3494
KOLKATA-RUPSI,0,2909,,New Route,2909
KOLKATA-TIRUPATI,0,23,,New Route,23
KOLKATA-UDAIPUR,0,48,,New Route,48
KOLKATA-VADODARA,0,322,,New Route,322
KOLKATA-VIJAYAWADA,0,1,,New Route,1
KOZHIKODE-MANGALORE,0,24,,New Route,24
KOZHIKODE-VARANASI,0,244,,New Route,244
KURNOOL-VIJAYAWADA,0,3415,,New Route,3415
KURNOOL-VISAKHAPATNAM,0,7563,,New Route,7563
LILABARI-SILCHAR,0,53,,New Route,53
LUCKNOW-NAGPUR,0,5913,,New Route,5913
LUCKNOW-NASIK,0,421,,New Route,421
LUCKNOW-PRAYAGRAJ,0,4795,,New Route,4795
LUCKNOW-RAIPUR,0,75318,,New Route,75318
LUCKNOW-RANCHI,0,25180,,New Route,25180
LUCKNOW-SHIRDI,0,479,,New Route,479
LUCKNOW-SILCHAR,0,1762,,New Route,1762
LUCKNOW-VARANASI,0,9374,,New Route,9374
LUCKNOW-VIJAYAWADA,0,171,,New Route,171
MADURAI-VIJAYAWADA,0,852,,New Route,852
MALVAN-PUNE,0,20839,,New Route,20839
MANGALORE-PUNE,0,4516,,New Route,4516
MANGALORE-RAJAHMUNDRY,0,3,,New Route,3
MANGALORE-THIRUVANANTHAPURAM,0,3322,,New Route,3322
MUMBAI-RAJAHMUNDRY,0,82688,,New Route,82688
MUMBAI-SHOLAPUR,0,5990,,New Route,5990
MUMBAI-TIRUCHIRAPALLY,0,91439,,New Route,91439
NAGPUR-NASIK,0,4120,,New Route,4120
NAGPUR-PATNA,0,163,,New Route,163
NAGPUR-RAIPUR,0,1159,,New Route,1159
NANDED-PUNE,0,31450,,New Route,31450
NASIK-SHIRDI,0,105,,New Route,105
PANTNAGAR-PITHORAGARH,0,1191,,New Route,1191
PASIGHAT-SHILLONG,0,569,,New Route,569
PATNA-PUNE,0,117714,,New Route,117714
PATNA-VARANASI,0,503,,New Route,503
PONDICHERRY-RAJAHMUNDRY,0,87,,New Route,87
PORBANDAR-SURAT,0,43,,New Route,43
PORT BLAIR-RANCHI,0,2,,New Route,2
PRAYAGRAJ-PUNE,0,4606,,New Route,4606
PUNE-RAIPUR,0,136234,,New Route,136234
PUNE-RAJKOT,0,58078,,New Route,58078
PUNE-RANCHI,0,128213,,New Route,128213
PUNE-SRINAGAR,0,539,,New Route,539
PUNE-SURAT,0,58302,,New Route,58302
PUNE-THIRUVANANTHAPURAM,0,54250,,New Route,54250
PUNE-UDAIPUR,0,51,,New Route,51
PUNE-VADODARA,0,51152,,New Route,51152
PUNE-VARANASI,0,131559,,New Route,131559
PUNE-VIJAYAWADA,0,12,,New Route,12
RAIPUR-UTKELA,0,513,,New Route,513
RAIPUR-VIJAYAWADA,0,13,,New Route,13
RAIPUR-VISAKHAPATNAM,0,20529,,New Route,20529
RAJAHMUNDRY-TIRUCHIRAPALLY,0,486,,New Route,486
RAJAHMUNDRY-TIRUPATI,0,2410,,New Route,2410
RAJAHMUNDRY-VIJAYAWADA,0,299,,New Route,299
RAJAHMUNDRY-VISAKHAPATNAM,0,123,,New Route,123
RAJKOT-SURAT,0,111,,New Route,111
RAJKOT-UDAIPUR,0,528,,New Route,528
RANCHI-VARANASI,0,166,,New Route,166
SHIRDI-TIRUPATI,0,794,,New Route,794
SHIRDI-VIJAYAWADA,0,8559,,New Route,8559
SHIVAMOGGA-TIRUPATI,0,26417,,New Route,26417
SRINAGAR-VARANASI,0,162,,New Route,162
SURAT-VADODARA,0,54,,New Route,54
THIRUVANANTHAPURAM-TIRUCHIRAPALLY,0,4580,,New Route,4580
THIRUVANANTHAPURAM-VISAKHAPATNAM,0,4,,New Route,4
TIRUPATI-VISAKHAPATNAM,0,43896,,New Route,43896
VARANASI-VISAKHAPATNAM,0,10133,,New Route,10133
